horizon,city,model,errorMetric,errorValue,modelTime
12,palmas,arimaSimple,nmse,30.997661013297172,0.7899999999999999
12,palmas,arimaSimple,mape,497645029676339.25,0.7899999999999999
12,palmas,local_LGBM,nmse,18.092296436312438,6.76
12,palmas,local_LGBM,mape,102021199304893.48,6.76
12,palmas,all_LGBM,nmse,22.05441806930357,105.18
12,palmas,all_LGBM,mape,181062044086469.66,105.18
12,palmas,meso_LGBM,nmse,18.092296436312438,6.92
12,palmas,meso_LGBM,mape,102021199304893.48,6.92
12,palmas,micro_LGBM,nmse,18.092296436312438,4.93
12,palmas,micro_LGBM,mape,102021199304893.48,4.93
12,palmas,kshape6_LGBM,nmse,18.076512441732444,26.69
12,palmas,kshape6_LGBM,mape,262234542931597.62,26.69
12,palmas,kshape17_LGBM,nmse,22.08232336920158,20.840000000000003
12,palmas,kshape17_LGBM,mape,205032723658971.34,20.840000000000003
12,rio-de-janeiro,arimaSimple,nmse,3.1282103117391475,0.7100000000000001
12,rio-de-janeiro,arimaSimple,mape,0.9491750528083553,0.7100000000000001
12,rio-de-janeiro,local_LGBM,nmse,2.0647005459987855,7.9399999999999995
12,rio-de-janeiro,local_LGBM,mape,0.4773837853151517,7.9399999999999995
12,rio-de-janeiro,all_LGBM,nmse,2.448674894457763,108.46000000000001
12,rio-de-janeiro,all_LGBM,mape,0.6208483681929544,108.46000000000001
12,rio-de-janeiro,meso_LGBM,nmse,1.5387390140359567,22.950000000000003
12,rio-de-janeiro,meso_LGBM,mape,0.41734246844195616,22.950000000000003
12,rio-de-janeiro,micro_LGBM,nmse,2.133835567409031,20.849999999999998
12,rio-de-janeiro,micro_LGBM,mape,0.5032911594634203,20.849999999999998
12,rio-de-janeiro,kshape6_LGBM,nmse,6.762172383160874,47.74
12,rio-de-janeiro,kshape6_LGBM,mape,0.501129603620643,47.74
12,rio-de-janeiro,kshape17_LGBM,nmse,3.0746757280220733,22.16
12,rio-de-janeiro,kshape17_LGBM,mape,0.629268890011977,22.16
12,brasilia,arimaSimple,nmse,12.504646190551885,0.9
12,brasilia,arimaSimple,mape,1.1119702582951583,0.9
12,brasilia,local_LGBM,nmse,12.029201689696963,6.65
12,brasilia,local_LGBM,mape,0.5393703335510488,6.65
12,brasilia,all_LGBM,nmse,10.860651384943804,92.0
12,brasilia,all_LGBM,mape,0.8401618498418802,92.0
12,brasilia,meso_LGBM,nmse,12.029201689696963,5.529999999999999
12,brasilia,meso_LGBM,mape,0.5393703335510488,5.529999999999999
12,brasilia,micro_LGBM,nmse,12.029201689696963,7.17
12,brasilia,micro_LGBM,mape,0.5393703335510488,7.17
12,brasilia,kshape6_LGBM,nmse,8.8191682628068,28.870000000000005
12,brasilia,kshape6_LGBM,mape,0.5933396717099476,28.870000000000005
12,brasilia,kshape17_LGBM,nmse,8.809461814443878,20.860000000000003
12,brasilia,kshape17_LGBM,mape,0.5903823935852067,20.860000000000003
